UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
60815,8,ÖDP,906,815,"Bretscher, Stefan",1969,Grafenrheinfeld
60816,8,ÖDP,906,816,"Bauer, Katrin",1972,Aschaffenburg
60817,8,ÖDP,906,817,"Peeters, Walther",1951,Aschaffenburg
60818,8,ÖDP,906,818,"Friedrich, Benno",1969,Aschaffenburg
60819,8,ÖDP,906,819,"Pröstler, Herbert",1953,Dettelbach
60901,9,PIRATEN,906,901,"Kindermann, Michael",1966,Würzburg
60902,9,PIRATEN,906,902,"Lukas, Mirco",1990,Zellingen
60903,9,PIRATEN,906,903,"Wildenauer, Benjamin",1985,Bad Brückenau
60904,9,PIRATEN,906,904,"Finke, Wolfgang",1956,Lohr a.Main
60905,9,PIRATEN,906,905,"Winkler, Maximilian",1987,Würzburg
61001,10,DIE FRANKEN,906,1001,"Freifrau von Thüngen, Christiane",1941,Thüngen
61002,10,DIE FRANKEN,906,1002,"Konrad, Dr. Herbert",1950,Rimpar
61003,10,DIE FRANKEN,906,1003,"Fischer, Horst",1955,Hohenroth
61004,10,DIE FRANKEN,906,1004,"Weber, Franz",1953,Niederlauer
61005,10,DIE FRANKEN,906,1005,"Wagner-Blind, Mechthild",1946,Würzburg
61006,10,DIE FRANKEN,906,1006,"Wagner, Peter",1943,Würzburg
61007,10,DIE FRANKEN,906,1007,"Freifrau von Thüngen, Nadja",1970,Thüngen
61008,10,DIE FRANKEN,906,1008,"Freiherr von Thüngen, James Eric",1969,Thüngen
61009,10,DIE FRANKEN,906,1009,"Tartsch, Detlef",1945,Nürnberg
61010,10,DIE FRANKEN,906,1010,"Müller, Gabriele",1959,Thüngen
61011,10,DIE FRANKEN,906,1011,"Metz, Christian",1982,Burkardroth
61012,10,DIE FRANKEN,906,1012,"Mauser, Ursula",1942,Sommerhausen
61013,10,DIE FRANKEN,906,1013,"Leist, Roslyn",1947,Würzburg
61014,10,DIE FRANKEN,906,1014,"Hubrich, Joachim",1963,Karlstadt
61015,10,DIE FRANKEN,906,1015,"Hemmelmann, Ewald",1956,Himmelstadt
61016,10,DIE FRANKEN,906,1016,"Fuchs, Siegbert",1948,Sommerhausen
