regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,10,BüSo,19,"Stohanzl, Fatimah",21,,151,151,3,,4,1,5,4,6,2,99,17,3,7
905,10,BüSo,20,"Theuerkaufer, Klaus",17,,184,184,2,4,10,7,66,29,10,3,11,22,11,9
905,10,BüSo,21,"Tudyka, Alexander",24,,76,76,3,2,1,2,43,9,,3,2,9,1,1
905,10,BüSo,22,"Weigand, Thomas",14,,304,304,2,5,7,3,2,25,4,4,7,7,10,228
905,10,BüSo,23,"Haskic, Achmed",23,,117,117,3,2,5,1,8,6,21,52,7,7,2,3
905,10,BüSo,24,"Loos, Elisabeth",20,,160,160,25,10,10,40,3,8,8,3,13,14,13,13
905,10,BüSo,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,48,48,1,2,7,,4,3,5,2,8,7,7,2
905,10,BüSo,,Erststimmen insgesamt,,,6559,,696,403,336,312,450,781,734,267,739,708,305,828
905,10,BüSo,,Zweitstimmen insgesamt,,,5431,5431,349,302,312,329,709,624,428,259,496,704,367,552
905,10,BüSo,,Gesamtstimmen,,,11990,5431,1045,705,648,641,1159,1405,1162,526,1235,1412,672,1380
905,11,Die Freiheit,1,"Gattenlöhner, Robert",1,,6379,4671,286,328,454,348,558,568,352,268,456,525,528,1708*
905,11,Die Freiheit,2,"Brandl, Andreas",2,,3278,1217,79,233,87,73,64,54,90,47,76,72,2061*,342
905,11,Die Freiheit,3,"Dorsch, Marco",6,,2473,1148,161,157,230,1325*,65,76,43,55,90,73,137,61
905,11,Die Freiheit,4,"Kistler, Karola",5,,2857,894,73,57,73,82,157,61,115,64,86,1963*,75,51
905,11,Die Freiheit,5,"Nikol, Christian",8,,2357,633,36,1724*,60,53,27,15,24,29,44,41,250,54
905,11,Die Freiheit,6,"Sommerkorn, Klaus",11,,1769,733,23,40,41,41,81,31,289,1036*,49,60,54,24
905,11,Die Freiheit,7,"Wagner, Martin",9,,2298,489,24,30,47,55,68,44,42,25,1809*,84,42,28
