regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,6,Die Linke,19,"Lindenthal, Moritz",12,19,,2.683,154,6,8,9,11,5,5,2.529*,8,13,4,5,5,5,5,4,2,2,4,5,8,4,3,6,4,5,0,5,2,6,3,2
901,6,Die Linke,20,"Martin-Köppl, Ernestine",13,20,,2.610,380,10,6,4,4,3,9,4,4,3,49,7,5,13,25,1,5,4,2.230*,10,103,4,7,12,6,4,5,8,33,12,4,16
901,6,Die Linke,21,"Podlewski, Rolf-Werner",50,21,,2.367,127,2,3,3,5,0,3,1,3,3,0,65,1,1,2,3,1,3,0,3,6,3,1,4,1,0,1,0,2,6,1,2.240*
901,6,Die Linke,22,"Westermeier, Jonathan",14,22,,2.281,506,19,10,32,33,25,27,13,15,21,7,10,8,1.775*,12,5,11,34,50,15,26,8,7,34,10,8,12,13,8,11,10,12
901,6,Die Linke,23,"Eigner, Dominik",32,23,,2.150,288,9,2,8,10,9,6,7,10,19,6,2,3,12,8,1.862*,4,10,9,59,9,5,2,10,11,11,14,7,5,10,4,7
901,6,Die Linke,24,"Gehnen, Elmar",47,24,,2.113,183,5,2,3,3,2,4,1,2,4,2,1.930*,3,7,2,1,2,3,3,2,7,44,3,2,5,2,1,5,7,4,3,49
901,6,Die Linke,25,"Koppe, Walter",37,25,,2.016,222,2,7,9,17,6,8,2,6,19,2,4,1,6,14,4,1.794*,33,7,5,3,3,9,5,2,2,2,12,6,8,7,11
901,6,Die Linke,26,"Feilzer, Bernhard",36,26,,1.937,42,0,1,2,1,2,2,0,2,1,0,0,0,2,0,1,1,1,11,0,4,1,2,2,2,0,1,0,1,1.895*,0,2
901,6,Die Linke,27,"Nitzsche, Patrick",41,27,,1.569,232,5,7,2,5,5,9,7,8,6,1.337*,3,1,5,4,41,8,8,7,15,10,3,15,4,3,15,3,3,5,6,3,16
901,6,Die Linke,28,"Kirchner, Stefanie",51,28,,1.517,1.517,27,18,47,30,18,21,23,19,24,26,37,21,21,23,141,18,33,25,508,26,21,24,27,13,87,86,25,22,18,45,43
