regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,10,BüSo,5,"Schneider, ThomasMichael",7,,591,134,11,11,10,457*,5,11,61,25
904,10,BüSo,6,"Roppelt, Markus",4,,804,337,14,8,258,12,29,10,6,467*
904,10,BüSo,7,"Braun, Adrian",8,,428,38,11,7,390*,4,3,2,4,7
904,10,BüSo,8,"Sedlmeyer, Gunther",6,,626,182,90,27,4,19,10,15,444*,17
904,10,BüSo,9,"Dotzler, Thomas",14,,218,218,36,120,10,17,10,5,14,6
904,10,BüSo,10,"Ehret, Alfred",12,,230,230,22,8,11,14,150,6,11,8
904,10,BüSo,11,"Heinrich, Thomas",9,,364,364,5,2,3,6,4,299,7,38
904,10,BüSo,12,"HertrichMorgeneier, Hannelore",15,,174,174,2,1,2,5,4,129,5,26
904,10,BüSo,13,"Keilholz, Gerhard",11,,252,252,30,8,34,9,143,7,5,16
904,10,BüSo,14,"Schrepfer, Thomas",10,,300,300,81,97,20,24,10,11,41,16
904,10,BüSo,15,"Suck, Frank",16,,164,164,80,11,8,16,17,13,10,9
904,10,BüSo,16,"Wagner, Jürgen",13,,229,229,78,76,9,20,10,4,21,11
904,10,BüSo,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,30,30,4,3,3,5,6,2,2,5
904,10,BüSo,,Erststimmen insgesamt,,,4319,,981,498,390,457,391,691,444,467
904,10,BüSo,,Zweitstimmen insgesamt,,,4578,4578,834,650,572,380,543,657,416,526
904,10,BüSo,,Gesamtstimmen,,,8897,4578,1815,1148,962,837,934,1348,860,993
904,11,Die Freiheit,1,"Gerstner, Maria",1,,1731,435,72,47,88,53,66,48,1296*,61
904,11,Die Freiheit,2,"Zenk, Christine",2,,660,660,288,68,33,15,95,20,123,18
904,11,Die Freiheit,3,"Köstner, Petra",3,,538,538,22,13,35,27,12,34,354,41
904,11,Die Freiheit,4,"Bauer, Maria",6,,354,354,18,14,5,5,277,5,21,9
904,11,Die Freiheit,5,"Alt, Verena",8,,318,318,20,9,31,21,16,18,161,42
904,11,Die Freiheit,6,"Heinlein, Barbara",4,,364,364,16,9,21,29,14,28,210,37
904,11,Die Freiheit,7,"Popp, Ute",7,,338,338,80,109,22,16,26,31,27,27
904,11,Die Freiheit,8,"Schnappauf, Hedwig",9,,242,242,2,4,8,11,4,5,204,4
904,11,Die Freiheit,9,"Förster, Hannelore",12,,188,188,6,6,6,136,8,10,10,6
904,11,Die Freiheit,10,"MüllerTrunk, Petra",5,,355,355,67,129,29,26,34,32,17,21
904,11,Die Freiheit,11,"Schmidt, Beate",16,,104,104,2,2,7,,5,6,82,
904,11,Die Freiheit,12,"Heubach, Heidemarie",11,,191,191,4,3,8,6,6,123,2,39
904,11,Die Freiheit,13,"Petersam, Gabriele",14,,157,157,3,3,4,4,3,4,126,10
904,11,Die Freiheit,14,"Schulze, Rosl",15,,143,143,2,2,7,9,,8,106,9
904,11,Die Freiheit,15,"Karsuntke, Ulrike",10,,220,220,14,14,18,51,16,27,63,17
904,11,Die Freiheit,16,"Weschenfelder, Stefanie",13,,161,161,6,11,15,13,3,11,84,18
904,11,Die Freiheit,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,24,24,1,3,3,2,,3,9,3
904,11,Die Freiheit,,Erststimmen insgesamt,,,1296,,,,,,,,1296,
904,11,Die Freiheit,,Zweitstimmen insgesamt,,,4792,4792,623,446,340,424,585,413,1599,362
904,11,Die Freiheit,,Gesamtstimmen,,,6088,4792,623,446,340,424,585,413,2895,362
904,12,Piraten,1,"Fuchs, Heike",1,,5814,2803,355,272,433,344,325,3011*,389,685
904,12,Piraten,2,"Metzner, Uwe",3,,3265,1720,703,1545*,104,79,130,509,119,76
904,12,Piraten,3,"Hoffmann, Holger",4,,3106,633,63,76,2473*,91,86,127,59,131
904,12,Piraten,4,"Bischof, Jörg",9,,1605,289,39,35,36,1316*,42,36,67,34
904,12,Piraten,5,"Loskarn, Peter",2,,3882,1558,2324*,538,104,116,456,114,133,97
904,12,Piraten,6,"Ludwig, Georg Dieter",5,,2544,300,25,13,72,35,18,109,28,2244*
904,12,Piraten,7,"Lärtz, Helmut",6,,2335,288,35,15,30,77,16,19,2047*,96
904,12,Piraten,8,"Merkel, Andreas",8,,1966,281,56,23,42,41,1685*,34,37,48
904,12,Piraten,9,"Fuchs, Stefan",10,,1382,1382,14,10,22,18,18,1237,15,48
904,12,Piraten,10,"Konrad, Stefan",11,,1088,1088,46,27,36,99,27,40,687,126
904,12,Piraten,11,"Thoma, Friedrich",13,,357,357,171,90,12,19,16,18,12,19
904,12,Piraten,12,"Dressendörfer, Horst",7,,2005,2005,45,29,1169,44,74,151,64,429
904,12,Piraten,13,"Behm, Hartmut",12,,717,717,21,15,16,25,20,489,68,63
904,12,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,139,139,18,11,19,14,17,24,18,18
904,12,Piraten,,Erststimmen insgesamt,,,16645,,2324,1545,2473,1316,1685,3011,2047,2244
904,12,Piraten,,Zweitstimmen insgesamt,,,13560,13560,1591,1154,2095,1002,1245,2907,1696,1870
904,12,Piraten,,Gesamtstimmen,,,30205,13560,3915,2699,4568,2318,2930,5918,3743,4114
